,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,versions,update_date,authors_parsed,publisher,published-print,published-online,reference-count,type,bibtex,subject,publication_type,field_of_study,refined_authors,refined_publication_title,resolved_venue,refined_venue,authors_with_gender,publication_year,journal_name,volume,issue,pages
21281,711.1971,Justin David R,Justin R. David,On the dyon partition function in N=2 theories,48 pages,"JHEP0802:025,2008",10.1088/1126-6708/2008/02/025,,hep-th,,"[{'version': 'v1', 'created': 'Tue, 13 Nov 2007 13:02:17 GMT'}]",2008-11-26,"[['David', 'Justin R.', '']]",,,,,,,,,High Energy Physics,Justin R David,On the dyon partition function in 𝒩 = 2 theories,Unknown,Unknown,Justin R David (male),2008,Journal of High Energy Physics,2008,02,025-025
102616,1001.3382,Eiji Konishi,Eiji Konishi,Modeling M-Theory Vacua via Gauged S-Duality,"31 pages, version reflecting the erratum. arXiv admin note:
  substantial text overlap with arXiv:1102.4608","Int.J.Mod.Phys.A26:4785-4816,2011;
  Int.J.Mod.Phys.A.27:1292003,2012",10.1142/S0217751X11054693,,hep-th,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Tue, 19 Jan 2010 18:59:43 GMT'}, {'version': 'v10', 'created': 'Sun, 31 Jul 2011 14:26:18 GMT'}, {'version': 'v11', 'created': 'Fri, 11 Nov 2011 05:58:44 GMT'}, {'version': 'v12', 'created': 'Thu, 5 Apr 2012 01:02:01 GMT'}, {'version': 'v2', 'created': 'Wed, 20 Jan 2010 12:29:31 GMT'}, {'version': 'v3', 'created': 'Sun, 24 Jan 2010 01:34:13 GMT'}, {'version': 'v4', 'created': 'Mon, 15 Feb 2010 17:36:31 GMT'}, {'version': 'v5', 'created': 'Thu, 25 Mar 2010 13:20:58 GMT'}, {'version': 'v6', 'created': 'Mon, 31 May 2010 07:22:46 GMT'}, {'version': 'v7', 'created': 'Mon, 9 Aug 2010 03:10:24 GMT'}, {'version': 'v8', 'created': 'Mon, 23 Aug 2010 16:34:20 GMT'}, {'version': 'v9', 'created': 'Fri, 26 Nov 2010 20:45:36 GMT'}]",2015-05-18,"[['Konishi', 'Eiji', '']]",,,,,,,,,High Energy Physics,EIJI KONISHI,MODELING M-THEORY VACUA VIA GAUGED S-DUALITY,Unknown,Unknown,EIJI KONISHI (male),2011,International Journal of Modern Physics A,26,27n28,4785-4816
121054,1007.0229,Marcelo Kuperman,M. N. Kuperman,A model for the emergence of geopolitical division,,"Phil. Trans. R. Soc. A 2010 368, 5695-5706",10.1098/rsta.2010.0263,,nlin.AO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Thu, 1 Jul 2010 18:40:45 GMT'}]",2010-11-24,"[['Kuperman', 'M. N.', '']]",,,,,,,,,Nonlinear Sciences,M. N. Kuperman,A model for the emergence of geopolitical division,Unknown,Unknown,M. N. Kuperman (male),2010,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",368,1933,5695-5706
23046,711.4945,Hrachya Nersisyan,"H.B. Nersisyan, D.A. Osipyan and G. Zwicknagel","Renormalized cluster expansion of the microfield distribution in a
  strongly coupled two-component plasmas","17 pages, 10 figures, submitted to Physical Review E",,10.1103/PhysRevE.77.056409,,physics.plasm-ph,,"[{'version': 'v1', 'created': 'Fri, 30 Nov 2007 14:46:12 GMT'}]",2009-11-13,"[['Nersisyan', 'H. B.', ''], ['Osipyan', 'D. A.', ''], ['Zwicknagel', 'G.', '']]",,,,,,,,,Mathematics and Computer Science,"H. B. Nersisyan, D. A. Osipyan, G. Zwicknagel",Renormalized cluster expansion of the microfield distribution in strongly coupled two-component plasmas,Unknown,Unknown,"H. B. Nersisyan (male), D. A. Osipyan (male), G. Zwicknagel (male)",2008,Physical Review E,77,5,
69809,903.2896,Myung Joon Han,Myung Joon Han and Sergey Y. Savrasov,"Doping Driven ($\pi, 0$) Nesting and Magnetic Properties of Fe$_{1+x}$Te
  Superconductors",Table updated and discussion included,"Phys. Rev. Lett. 103, 067001 (2009)",10.1103/PhysRevLett.103.067001,,cond-mat.supr-con cond-mat.mtrl-sci,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Tue, 17 Mar 2009 03:00:51 GMT'}, {'version': 'v2', 'created': 'Tue, 7 Apr 2009 01:07:05 GMT'}]",2009-08-05,"[['Han', 'Myung Joon', ''], ['Savrasov', 'Sergey Y.', '']]",,,,,,,,,Condensed Matter Physics,"Myung Joon Han, Sergey Y. Savrasov","Doping Driven (<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>π</mml:mi></mml:math>, 0) Nesting and Magnetic Properties of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>Fe</mml:mi><mml:mrow><mml:mn>1</mml:mn><mml:mo>+</mml:mo><mml:mi>x</mml:mi></mml:mrow></mml:msub><mml:mi>Te</mml:mi></mml:math>Superconductors",Unknown,Unknown,"Myung Joon Han (female), Sergey Y. Savrasov (male)",2009,Physical Review Letters,103,6,
12874,708.2619,Kaustubh Priolkar,"P. A. Bhobe, K. R. Priolkar, P. R. Sarode","Factors influencing the Martensitic interactions in Ni50Mn35Sn15: An
  EXAFS study","20 pages, 9 figures",,10.1088/0953-8984/20/01/015219,,cond-mat.mtrl-sci,,"[{'version': 'v1', 'created': 'Mon, 20 Aug 2007 09:56:19 GMT'}]",2009-11-13,"[['Bhobe', 'P. A.', ''], ['Priolkar', 'K. R.', ''], ['Sarode', 'P. R.', '']]",,,,,,,,,Condensed Matter Physics,"P A Bhobe, K R Priolkar, P R Sarode",Factors influencing the martensitic transformation in Ni<sub>50</sub>Mn<sub>35</sub>Sn<sub>15</sub>: an EXAFS study,Unknown,Unknown,"P A Bhobe (male), K R Priolkar (male), P R Sarode (male)",2008,Journal of Physics: Condensed Matter,20,1,015219
114627,1005.1379,Koushik,"R. Koushik, Matthias Baenninger, Vijay Narayan, Subroto Mukerjee,
  Michael Pepper, Ian Farrer, David A. Ritchie and Arindam Ghosh","Evidence of gate-tunable topological excitations in two-dimensional
  electron systems",4 figures,"Phys. Rev. B 83, 085302 (2011)",10.1103/PhysRevB.83.085302,,cond-mat.mes-hall,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Sun, 9 May 2010 10:17:45 GMT'}]",2012-03-27,"[['Koushik', 'R.', ''], ['Baenninger', 'Matthias', ''], ['Narayan', 'Vijay', ''], ['Mukerjee', 'Subroto', ''], ['Pepper', 'Michael', ''], ['Farrer', 'Ian', ''], ['Ritchie', 'David A.', ''], ['Ghosh', 'Arindam', '']]",,,,,,,,,Condensed Matter Physics,"R. Koushik, Matthias Baenninger, Vijay Narayan, Subroto Mukerjee, Michael Pepper, Ian Farrer, David A. Ritchie, Arindam Ghosh",Evidence of gate-tunable topological excitations in two-dimensional electron systems,Unknown,Unknown,"R. Koushik (female), Matthias Baenninger (male), Vijay Narayan (male), Subroto Mukerjee (male), Michael Pepper (male), Ian Farrer (male), David A. Ritchie (male), Arindam Ghosh (male)",2011,Physical Review B,83,8,
117636,1006.0483,Joseph Marsano,"Joseph Marsano, Natalia Saulina, Sakura Schafer-Nameki",A Note on G-Fluxes for F-theory Model Building,"41 pages + 2 appendices; v2 references added, typo in (2.14)
  corrected","JHEP 1011:088,2010",10.1007/JHEP11(2010)088,"EFI-10-13, NSF-KITP-10-073, PI-strings-186",hep-th,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Wed, 2 Jun 2010 20:00:02 GMT'}, {'version': 'v2', 'created': 'Thu, 17 Mar 2011 19:28:32 GMT'}]",2011-03-18,"[['Marsano', 'Joseph', ''], ['Saulina', 'Natalia', ''], ['Schafer-Nameki', 'Sakura', '']]",,,,,,,,,High Energy Physics,"Joseph Marsano, Natalia Saulina, Sakura Schäfer-Nameki",A note on G-fluxes for F-theory model building,Unknown,Unknown,"Joseph Marsano (male), Natalia Saulina (female), Sakura Schäfer-Nameki (female)",2010,Journal of High Energy Physics,2010,11,
30321,802.2537,Louis Marchildon,Louis Marchildon,On relativistic elements of reality,"Clarifications, reference added; published version",Foundations of Physics 38 (2008) 804-17,10.1007/s10701-008-9238-9,,quant-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Mon, 18 Feb 2008 20:25:41 GMT'}, {'version': 'v2', 'created': 'Fri, 24 Oct 2008 11:48:36 GMT'}]",2009-11-13,"[['Marchildon', 'Louis', '']]",,,,,,,,,Quantum Physics,Louis Marchildon,On Relativistic Elements of Reality,Unknown,Unknown,Louis Marchildon (male),2008,Foundations of Physics,38,9,804-817
63847,901.2892,Benjamin Davidovitch,"Jiangshui Huang, Benny Davidovitch, Christian Santangelo, Thomas P.
  Russell, and Narayanan Menon",A smooth cascade of wrinkles at the edge of a floating elastic film,"4 pages, 4 figures",,10.1103/PhysRevLett.105.038302,,cond-mat.soft cond-mat.mtrl-sci nlin.PS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Mon, 19 Jan 2009 16:32:52 GMT'}]",2015-05-13,"[['Huang', 'Jiangshui', ''], ['Davidovitch', 'Benny', ''], ['Santangelo', 'Christian', ''], ['Russell', 'Thomas P.', ''], ['Menon', 'Narayanan', '']]",,,,,,,,,Condensed Matter Physics,"Jiangshui Huang, Benny Davidovitch, Christian D. Santangelo, Thomas P. Russell, Narayanan Menon",Smooth Cascade of Wrinkles at the Edge of a Floating Elastic Film,Unknown,Unknown,"Jiangshui Huang (male), Benny Davidovitch (male), Christian D. Santangelo (male), Thomas P. Russell (male), Narayanan Menon (male)",2010,Physical Review Letters,105,3,
